30061	31052	43882	6854	8509
30205	31218	43793	3854	8300
30338	31277	43732	2080	3417
30343	31306	43706	1039	187
30190	31372	43794	393	48
30181	31349	43744	537	82
30270	31291	43766	567	226
30074	31364	43727	1309	218
30131	31413	43766	179	158
30292	31388	43733	1611	0
30260	31369	43684	58	790
30244	31345	43662	783	874
30261	31261	43701	273	12
30288	31105	43788	186	0
30166	31074	43835	197	0
30221	31204	43777	90	26
30211	31362	43755	0	152
30179	31354	43764	0	2203
30244	31305	43740	0	6249
30266	31360	43761	1	3787
30191	31332	43763	0	661
30110	31255	43822	1763	3251
30093	31097	43887	1300	9007
30234	31197	43794	871	8694
30202	31164	43810	1761	6940
30169	31184	43833	877	2970
30176	31169	43835	1798	3166
30196	31164	43750	3609	5536
30226	31268	43741	1357	5279
30245	31289	43785	2410	4061
30109	31186	43861	3036	364
30141	31227	43837	3505	27
30058	31249	43862	2953	144
30144	31140	43813	0	4163
30127	31029	43923	0	9591
30103	31117	43873	1	12706
30212	31107	43833	2	11010
30349	31099	43807	2	9744
30165	31133	43799	979	12974
30052	31101	43904	11	8228
30223	31073	43902	1	4692
30114	31116	43879	0	5458
30193	31038	43907	1	4214
30105	31006	43936	325	2751
30103	31101	43903	2538	1646
30149	31089	43901	6131	409
30198	31110	43960	4781	5
30136	31058	43944	3861	2
30058	31037	43961	60	0
30182	31077	44035	446	104
30048	31113	44009	3129	15
30090	31156	43993	505	372
30153	31127	43952	434	4110
30121	31181	43953	726	2537
30107	31202	43938	198	1139
30115	31139	43972	2917	366
30109	31125	44012	8991	0
30080	31172	44065	13732	0
30037	31166	44054	9503	0
30244	31226	43959	6140	154
30128	31308	43943	7132	279
30050	31261	43999	4796	0
30130	31321	43986	3419	9
30049	31263	43990	4285	191
30219	31128	43997	3954	0
30073	31125	44028	4347	2096
30010	31036	43975	4033	2223
30170	31309	43983	0	664
30137	31253	43959	0	257
30091	31375	44047	28	4350
30140	31454	44003	6	6060
30139	31505	44065	81	4751
30003	31454	44062	0	3783
30044	31335	44090	0	39
29990	31233	44032	491	0
30184	31224	43922	4128	7759
30130	31232	43938	2689	7857
30104	31352	43978	1612	6133
30165	31342	43936	8843	3347
30296	31314	43970	10456	4907
30347	31356	43886	16526	8084
30128	31367	43730	15621	1937
30323	31391	43794	12589	1229
30279	31349	43825	8066	23
30111	31252	43883	7202	916
30083	31094	43874	4566	469
30013	31111	43972	5716	26
29970	31182	43883	1410	405
30097	31270	43808	1894	0
30186	31175	43742	396	0
30298	31312	43672	0	6
30400	31377	43712	0	0
30247	31258	43763	530	0
30228	31273	43799	2225	0
30184	31365	43799	3715	0
30193	31226	43750	5601	0
30184	31176	43727	7075	0
30282	31235	43637	1757	0
30316	31326	43634	4	0
30245	31196	43631	0	0
30242	31169	43562	0	0
30376	31306	43603	0	0
30511	31365	43534	0	0
30341	31429	43526	0	8
30180	31514	43619	0	2409
30253	31535	43608	0	3874
