30403	31734	43304
30421	31669	43427
30483	31537	43402
30528	31718	43356
30286	31749	43398
30591	31668	43291
30515	31621	43144
30154	31664	43242
30188	31601	43412
30346	31545	43277
30440	31524	43093
30468	31528	43218
30413	31566	43317
30388	31622	43314
30397	31647	43282
30595	31681	43192
30449	31669	43269
30266	31557	43318
30260	31656	43299
30433	31698	43239
30545	31555	43177
30684	31528	43116
30572	31540	43078
30468	31496	43129
30552	31422	43079
30668	31333	43051
30377	31444	43029
30295	31571	43186
30319	31757	43106
30692	31743	42985
30662	31692	42974
30440	31550	43001
30519	31362	43021
30804	31346	42983
30489	31508	42916
30719	31440	42996
30642	31506	42906
30779	31767	42885
30540	31796	42908
30404	31791	42988
30580	31748	42999
30680	31812	42995
30498	31828	42897
30379	31970	42779
30810	32022	42674
30771	31997	42799
30654	31821	42705
30670	31641	42690
30795	31723	42659
30588	31700	42672
30463	31460	42737
30770	31338	42714
30661	31388	42702
30635	31388	42673
30493	31740	42530
30707	32087	42500
30938	32132	42395
31034	32145	42481
30909	32068	42373
31100	32548	42203
30944	32626	42205
31059	32764	42191
30814	32414	42243
30385	32372	42536
30472	32323	42486
30815	32187	42603
30909	32416	42380
31002	32568	42307
30847	32412	42132
30994	32396	42138
31032	32350	42268
30542	32292	42389
30758	32450	42484
31036	32558	42424
31004	32692	42375
30884	32430	42522
30801	32252	42378
30663	32520	42447
30982	32685	42586
30855	32889	42633
30882	32916	42751
30896	33103	42721
30639	32877	42834
30668	32792	42683
30981	33178	42596
30885	33571	42824
30613	33438	42787
30758	33390	42727
30746	33598	42791
30661	33534	42730
30716	33568	42654
30962	33656	42565
31040	33822	42516
30828	33789	42591
30666	33710	42732
30714	33814	42653
30896	33948	42586
30747	33912	42680
30653	33743	42716
30664	33833	42747
30905	34050	42664
30825	34039	42632
30907	34144	42563
30927	34058	42550
30862	33969	42602
30662	34040	42628
30784	34017	42679
30829	33879	42676
30692	33865	42592
30844	33973	42550
30947	33946	42537
30992	33689	42580
30893	33547	42619
30901	33468	42515
30849	33631	42493
30794	33708	42481
31015	33716	42352
31166	33640	42192
31081	33273	42312
30928	32917	42337
30947	32724	42517
30749	32289	42581
30900	32410	42470
31112	32594	42489
31121	32470	42528
30999	32097	42473
30941	32028	42551
31002	32045	42560
30959	31864	42634
30793	31620	42556
30787	31583	42513
30777	31765	42418
