30389	32239	43010
30502	32033	43027
30619	31818	43022
30780	31609	43099
30699	31620	43124
30533	31709	43215
30488	31985	43190
30393	32080	43119
30569	32090	43161
30523	31934	43167
30619	31937	43145
30512	31894	43219
30471	31882	43144
30581	31929	43137
30621	31961	43097
30458	31944	43167
30517	32020	43074
30679	32046	43105
30349	31923	43212
30497	31992	43153
30473	31921	43133
30620	31757	43202
30512	31881	43164
30437	31898	43121
30462	31942	43074
30583	31937	43090
30619	31922	43091
30569	31912	43048
30597	31935	43064
30537	31905	43042
30559	31926	42983
30630	31876	42984
30628	31905	42949
30619	31847	42983
30583	31827	42975
30560	31902	43010
30533	31849	43004
30632	31830	43005
30938	31964	42845
30542	31933	42941
30562	31796	42957
30622	31846	42935
30695	31818	42984
30517	31837	42953
30473	31866	42916
30734	31900	42934
30702	31908	42914
30641	31928	42870
30607	31917	42945
30543	31886	43034
30585	31951	42968
30636	31973	43029
30473	31928	43011
30526	32030	43044
30622	32026	43002
30553	31969	43087
30597	31973	43078
30524	31923	43151
30661	31899	43091
30471	32068	43051
30488	32072	43158
30630	31977	43135
30473	32101	43146
30581	32041	43211
30587	32105	43320
30562	32126	43256
30492	32279	43268
30404	32217	43233
30659	32170	43207
30627	32184	43423
30302	32058	43608
30083	31995	43594
30238	32033	43536
30301	32024	43473
30431	32060	43334
30506	32187	43342
30475	32163	43382
30324	32027	43517
30300	31905	43624
30429	31971	43626
30481	32067	43672
30325	31763	43994
30295	31375	44104
29861	31609	44066
29787	31675	44153
30082	31745	44244
30022	32045	44036
30135	32249	43928
30240	32077	43923
30299	31866	43926
30125	31817	43998
30017	31632	44215
30026	31646	44192
30132	31922	44110
30222	31970	44273
30236	32055	44307
30464	32142	44296
30665	32637	44126
30554	33219	44093
30418	32723	44041
30271	32759	44330
30089	32445	44448
29777	32491	44458
29045	32766	44248
29100	32885	43856
29147	32805	43326
28906	32864	43409
28555	33209	43786
27899	32994	43841
29617	32027	44880
34077	33780	44544
32091	31646	42580
32219	28328	41263
32997	27369	41787
32311	30802	42040
30328	31510	41146
28248	31246	40252
27882	32089	39217
29906	32185	38474
30944	31009	38275
30707	30571	38720
32269	29313	41432
33687	27026	41202
36713	25848	37979
41778	27527	39080
42908	37776	39240
